Razão Social,Endereço,Município,UF,Licenciada (sim ou não),Latitude/Longitude,Canal/Frequência,Indicador
ASSOCIACAO COMUNITARIA LAPA - ACLA,"PRACA DAS COMUNICACOES, S/N",Amélia Rodrigues,BA,( S ),12S235100/38W452100,285 / 104.90,ZYS504
RÁDIO COMUNITÁRIA DE AMPARO SOCIAL,AVENIDA EDSON SOARES,Anagé,BA,,14S365800/41W073500,200 / 87.90,ZYS615
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA DE ANGICAL (ARCA),"PRACA DA BANDEIRA, 29",Angical,BA,,12S000000/44W415200,200 / 87.90,ZYS481
ASSOCIACAO DE COMUNICACAO COMUNITARIA SAO JOSE,,Anguera,BA,( N ),,285 / 104.90,
ASSOCIAÇÃO DE RÁDIO DIFUSÃO COMUNITÁRIA DE ANTAS (ARDICA),ALTO DA CAPELA DOS NILOS,Antas,BA,( S ),10S245200/38W195300,200 / 87.90,ZYS559
ACAT - ASSOCIACAO COMUNITARIA ALDEIA TINGUATIBA,,Antônio Cardoso,BA,( N ),,200 / 87.90,
ASSOCIAÇÃO COMUNITÁRIA ARAÇAS FM,"PRACA MANOEL DANTAS NOVAES, 278",Araças,BA,( S ),12S125100/38W101300,285 / 104.90,ZYC385
"ASSOCIACAO COM.DE AMPARO SOCIAL,COMUNICACAO  CULT.DE ARACATU","RUA LIBERIO MAIA, 146",Aracatu,BA,( S ),14S254600/41W273300,200 / 87.90,ZYS483
ASSOCIACAO RADIO COMUNITARIA CULTURA FM DE ARACI,RUA JOSÉ BONIFÁCIO,Araci,BA,( S ),11S201900/38W574900,285 / 104.90,ZYS524
ASSOCIACAO ARATAQUENSE DE RADIODIFUSAO COMUNITARIA,,Arataca,BA,( N ),,285 / 104.90,
ORGANIZAÇÃO NÃO GOVERNAMENTAL POETA LEONE,RUA BARÃO DO RIO BRANCO,Aratuípe,BA,( S ),13S044400/39W000600,200 / 87.90,ZYS710
ASSOCIAÇÃO DOS CANOEIROS E PESCADORES DE AURELINO LEAL E UBAITABA,RUA PEDRO ELIAS,Aurelino Leal,BA,( S ),14S190000/39W193800,285 / 104.90,ZYS670
ASSOCIAÇÃO DE DIFUSÃO COMUNITÁRIA DE BAIANÓPOLIS,RUA DO ESTÁDIO,Baianópolis,BA,,12S182200/44W322100,200 / 87.90,ZYS658
ASSOCIAÇÃO BENEFICENTE E CULTURAL COMUNITÁRIA DE BAIXA GRANDE,PRAÇA J.J. SEABRA,Baixa Grande,BA,( S ),11S575400/40W085500,200 / 87.90,ZYS598
ASSOCIACAO DE RADIODIFUSAO COMUNITARIA DA CIDADE DE BANZAE/BAHIA,,Banzaê,BA,( N ),,285 / 104.90,
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO E CULTURA DE BARRA,PRAÇA CORONEL NIZAN GUERRREIRO,Barra,BA,( S ),11S040800/43W100300,200 / 87.90,ZYC372
ASSOCIAÇÃO COMUNITÁRIA RECREATIVA E CULTURAL DE BARRA DA ESTIVA - ACRCBE,AVENIDA PAULO SOUTO,Barra da Estiva,BA,( S ),13S372800/41W195900,285 / 104.90,ZYS717
ASSOCIAÇÃO COMUNITÁRIA NOVA DIMENSÃO DE RADIODIFUSÃO PARA O DESENVOLVIMENTO CULTURAL E ARTÍSTICO,RUA TEOPOMPO BASTOS,Barra do Choça,BA,( S ),14S515000/40W341300,285 / 104.90,ZYS668
ASSOCIAÇÃO DE ASSISTÊNCIA AOS MENORES CARENTES DE BARRA DO MENDES - BAHIA,RUA ALBERIQUE CAMPOS OLIVEIRA,Barra do Mendes,BA,( S ),11S485000/42W041500,285 / 104.90,ZYS629
ASSOCIAÇÃO BARROCHENSE CULTURAL COMUNITÁRIA (ABACUC),RUA NOVA,Barra do Rocha,BA,( S ),14S122400/39W360000,200 / 87.90,ZYS625
ASSOCIAÇÃO CULTURAL E COMUNITÁRIA DOS MORADORES DO BAIRRO VILA BRASIL,RUA TOMÉ DE SOUZA,Barreiras,BA,( S ),12S081100/44W591800,285 / 104.90,ZYS651
ASSOCIACAO DOS MORADORES DO ARACRUZ - AMA,RUA XIQUE-XIQUE - QUADRA 10 - LOTE 01,Barreiras,BA,( S ),12S053400/45W475200,285 / 104.90,ZYC377
ASSOCIACAO DOS MORADORES DO BAIRRO ALVORADA,RUA 15 DE NOVEMBRO,Belo Campo,BA,( S ),15S021600/41W153100,200 / 87.90,ZYS482
ASSOCIAÇÃO COMUNITÁRIA E BENEFICENTE DE MÃES NOSSA SENHORA DA CONCEIÇÃO,RUA NOVA SOURE,Biritinga,BA,,11S370600/38W474800,285 / 104.90,ZYS738
ASSOCIAÇÃO BENEFICENTE 06 DE AGOSTO,CONJUNTO DOS BANCÁRIOS,Boa Nova,BA,,14S215300/40W121200,285 / 104.90,ZYS688
ASSOCIAÇÃO COMUNITÁRIA DE BOA VISTA DO TUPIM,PRAÇA RUI BARBOSA,Boa Vista do Tupim,BA,,12S393700/40W363300,200 / 87.90,ZYS669
ASSOCIACAO PROGRESSISTA DOS MORADORES DE BOM JESUS DA LAPA,RUA MONSENHOR TURUBIO VILA NOVA,Bom Jesus da Lapa,BA,( S ),13S152800/43W251700,285 / 104.90,ZYS691
ASSOCIACAO COMUNITARIA FILHOS DE BONINAL,"AVENIDA ZACARIAS CAETANO DOS SANTOS, 201",Boninal,BA,,12S422100/41W493500,285 / 104.90,ZYS557
GRUPO BROTO D ÁGUA,RUA PROFESSORA OLGAIR SOARES,Boquira,BA,,12S491100/42W433900,285 / 104.90,ZYS684
ASSOCIACAO COMUNITARIA DO MUNICIPIO DE BOTUPORA,RUA RIO PIRES,Botuporã,BA,( S ),13S223600/42W311000,200 / 87.90,ZYS554
ASSOCIACAO COMUNITARIA RADIOVIDA DE BOTUPORA,"AVENIDA TANQUE NOVO, 20",Botuporã,BA,( S ),13S210700/42W283600,200 / 87.90,ZYS500
ASSOCIAÇÃO COMUNITÁRIA SERRANA - ACOS,RUA DO PRÉDIO - KM 100 - BR 116,Brejões,BA,( S ),13S040600/39W570600,285 / 104.90,ZYS574
ASSOCIACAO COMUNITARIA NOVO AMANHECER - A.C.N.A,"TRAVESSA ADALBERTO FIGUEIREDO, S/N",Brotas de Macaúbas,BA,( S ),12S000100/42W374400,285 / 104.90,ZYS517
ASSOCIACAO DIVINA PROVIDENCIA DE AMPARO SOCIAL E CRISTAO,"RUA TEODORO SAMPAIO, 50",Brumado,BA,( S ),14S120800/41W395000,200 / 87.90,ZYC404
"ASSOCIAÇÃO COMUNITÁRIA SIDERAL DE RADIODIFUSÃO PARA O DESENVOLVIMENTO CULTURAL, ARTÍSTICO E ESPORTIVO","RUA DUQUE DE CAXIAS, 20",Buerarema,BA,( S ),14S563500/39W193200,285 / 104.90,ZYS547
ASSOCIACAO COM.DE ESPORTE E LAZER DOS MORADORES DE CAATIBA,"AVENIDA FRANCISCO VIANA, S/N",Caatiba,BA,,14S584500/40W242900,285 / 104.90,ZYS531
OBRA DE ASSISTENCIA PAROQUIAL DE CACHOEIRA - OAPC,"CASA DA CRIANCA - AVENIDA MANGABEIRA, S/NÊ",Cachoeira,BA,( S ),12S360400/39W020100,200 / 87.90,ZYC384
ASSOCIAÇÃO COMUNITÁRIA ATALAIA DE COMUNICAÇÃO E CULTURA,RUA ISAAC SANTOS,Caculé,BA,( S ),14S295000/42W131100,200 / 87.90,ZYS611
ASSOCIACAO COMUNITARIA DO PERIPERI E ADJACENCIAS,RUA SAO MATEUS,Caetité,BA,( S ),14S044300/42W293500,290 / 105.90,ZYS548
FUNDACAO CENTRO DE APOIO SOCIAL DE CAIRU,"RUA BARAO HOMEM MELO, 07",Cairu,BA,( S ),13S285900/39W024500,200 / 87.90,ZYS485
ASSOCIAÇÃO FELIZCIDADE,,Camaçari,BA,( N ),,200 / 87.90,
ASSOCIAÇÃO ASSISTENCIAL CAMACARIENSE,AV. EIXO URBANO SUDOESTE,Camaçari,BA,( S ),12S432500/38W193200,200 / 87.90,ZYS508
"ASSOCIAÇÃO COMUNITÁRIA AREMBEPE DE RADIODIFUSÃO DE INCENTIVO À CULTURA, ARTES E ESPORTES",LOTEAMENTO VILAREJO - QUADRA A - LOTE 09,Camaçari,BA,,12S461000/38W112100,200 / 87.90,ZYS656
FUNDAÇÃO CENTRO DE APOIO SOCIAL DE CAMAÇARI,RUA BLUMENAU,Camaçari,BA,( S ),12S411300/38W194300,200 / 87.90,ZYS486
ASSOCIACAO BENEFICENTE E COMUNITARIA DE CAMPO FORMOSO,RUA JOSÉ PEREIRA MAIA,Campo Formoso,BA,( S ),10S301800/40W190300,285 / 104.90,ZYS552
ASSOCIAÇÃO COMUNITÁRIA E AGROPASTRORIL DE TUIUTIBA,PRAÇA DO COMÉRCIO,Campo Formoso,BA,( S ),10S241900/40W164500,285 / 104.90,ZYS614
ASSOCIAÇÃO E MOVIMENTO COMUNITÁRIO BENEFICENTE CULTURAL RÁDIO CANAVIEIRAS - FM,AVENIDA PROFESSOR ASSIS GONÇALVES,Canavieiras,BA,( S ),15S400200/38W572700,285 / 104.90,ZYS666
ASSOCIACAO COMUNITARIA DOS MORADORES DO BAIRRO SANTO ANTONIO,,Candeias,BA,( N ),,200 / 87.90,
ASSOCIAÇÃO ESPERANÇA E LIBERDADE,RUA CASTRO ALVES,Candiba,BA,( S ),14S242900/42W515700,285 / 104.90,ZYS603
ADESCS-ASSOCIACAO DE DESENV.ECON.E SOCIAL DE CANDIDO SALES,"RUA LUIZ VIANA FILHO, 74",Cândido Sales,BA,( S ),15S301900/41W142000,200 / 87.90,ZYS484
ASSOCIAÇÃO BENEFICENTE SENHORA SANTANA,AV MONTE SANTO 170,Cansanção,BA,( S ),10S395400/39W301100,200 / 87.90,ZYC369
ASSOCIAÇÃO DE RÁDIO COMUNITÁRIA DE PROMOÇÃO SOCIAL DE CANUDOS,RUA 1º DE MAIO,Canudos,BA,,09S533400/39W015200,200 / 87.90,ZYS675
ASSOCIAÇÃO COMUNITÁRIA CONTORNO,AVENIDA AYRTON SENNA,Capim Grosso,BA,( S ),11S231200/40W002400,285 / 104.90,ZYC400
ASSOCIAÇÃO COMUNITÁRIA DE RADIODIFUSÃO PARA DESENVOLVIMENTO CULTURAL E ARTÍSTICO CARAÍBAS,"PRACA FLORINDO LIMA, S/N",Caraíbas,BA,( S ),09S434200/39W050300,200 / 87.90,ZYC392
ASSOCIAÇÃO COMUNITÁRIA AMIGOS DE CARAVELAS,PRAÇA ARI MARQUES LEITE,Caravelas,BA,,17S441100/39W112100,285 / 104.90,ZYS711
FUNDAÇÃO RÁDIO EDUCATIVA DE BARCELONA,RUA ANTÔNIO CELESTE,Caravelas,BA,,17S305500/40W063400,285 / 104.90,ZYS741
ASSOCIAÇÃO DOS MORADORES E PRODUTORES DE CARINHANHA,RUA CAPITÃO ARTUR LIMA,Carinhanha,BA,( S ),14S181500/43W460900,200 / 87.90,ZYC375
ASSOCIAÇÃO CASANOVENSE DE RADIODIFUSÃO COMUNITÁRIA,QUADRA KL - LOTE 30,Casa Nova,BA,( S ),09S103500/40W583600,285 / 104.90,ZYS647
"ASSOCIAÇÃO COMUNITÁRIA ELDORADO PARA O DESENVOLVIMENTO SOCIAL, CULTURAL E ARTÍSTICO DE CASTRO ALVES","AVENIDA FERNANDO WILSON MAGALHAES, 02",Castro Alves,BA,( S ),12S453600/39W254200,200 / 87.90,ZYC387
"ASSOCIACAO COMUN.CULT.E RECR.DOS BAIRROS URBIS,PLANALTO E SA","AVENIDA SANTA LUZIA, 398",Catu,BA,( S ),12S210000/38W230000,285 / 104.90,ZYS513
ASSOCIAÇÃO DE RÁDIO COMUNITÁRIA DE CENTRAL,AVENIDA JOÃO DURVAL CARNEIRO,Central,BA,( S ),11S080800/42W064600,285 / 104.90,ZYS637
RADIO COMUNITARIA LIDER DO SERTAO FM,"RUA DO CONTRONO, S/N",Chorrochó,BA,( S ),08S584000/39W055100,285 / 104.90,ZYS539
"ASSOCIAÇÃO RÁDIO COMUNITÁRIA E CULTURAL BUQUEIRÃO - FM 107,1 MHZ",RUA JOÃO JÚLIO DE SANTANA,Cícero Dantas,BA,( S ),10S355500/38W230900,285 / 104.90,ZYS661
ASSOCIACAO COMUNITARIA DE COMUNIC.E CULT.DE NOVA ESPERANCA,"AVENIDA SETE DE SETEMBRO, S/N",Cipó,BA,( S ),11S064000/38W304900,285 / 104.90,ZYS507
ASSOCIACAO BENEFICENTE DE DESENVOLVIMENTO CULTUR.EM COARACI,"AVENIDA ALMERINDA DE CARVALHO SANTOS, 70 - 1Ê ANDA",Coaraci,BA,,14S382700/39W330400,285 / 104.90,ZYS534
ASSOCIAÇÃO BENEFICENTE DOS MORADORES DE COCOS,RUA DUQUE DE CAXIAS,Cocos,BA,( S ),14S104500/44W320300,285 / 104.90,ZYS635
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA DE CONCEICÃO DA FEIRA - BA,PRAÇA IMACULADA CONCEIÇÃO,Conceição da Feira,BA,( S ),12S300000/39W000000,200 / 87.90,ZYS643
ASSOCIAÇÃO COMUNITÁRIA DE APOIO A CULTURA DO MUNICÍPIO DE CONCEIÇÃO DE ALMEIDA,,Conceição do Almeida,BA,( N ),,200 / 87.90,
ASSOCIACAO COMUNITARIA CULTURAL DE SALGADALIA,,Conceição do Coité,BA,( N ),,285 / 104.90,
ASSOCIAÇÃO COMUNITÁRIA DOS MORADORES DE CONCEIÇÃO DO JACUÍPE,AVENDA GETÚLIO VARGAS,Conceição do Jacuípe,BA,( S ),12S190000/38W460000,285 / 104.90,ZYS642
ASSOCIAÇÃO DE DIFUSÃO COMUNITÁRIA CONDE FM,RUA 15 DE NOVEMBRO;,Conde,BA,( S ),11S485100/37W364600,200 / 87.90,ZYS724
ASSOCIAÇÃO DOS PRODUTORES E MORADORES DO MUNICÍPIO DE CONDEÚBA,"TRAVESSA ASSIS RIBEIRO, 13, SALA 01",Condeúba,BA,( S ),14S534800/41W580400,285 / 104.90,ZYL334
ASCOM - ASSOCIAÇÃO DE COMUNICAÇÃO COMUNITÁRIA CULTURAL CORAÇÃO DE MARIA,PRAÇA DR. ARAÚJO PINHO,Coração de Maria,BA,( S ),12S143600/38W434700,285 / 104.90,ZYS616
ASSOCIAÇÃO CULTURAL E ARTÍSTICA DE RADIODIFUSÃOCOMUNITÁRIA CANDEAL,PRACA MARANATA,Cordeiros,BA,,15S022000/41W554000,285 / 104.90,ZYS692
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO E CULTURA DE CORIBE,RUA RUY BARBOSA,Coribe,BA,( S ),13S495000/44W211000,285 / 104.90,ZYS634
ASSOCIACAO DOS AMIGOS DO PORTAL DO ALVORADA/CEL. JOAO SA-BA,PRACA DR VIEIRA MELO,Coronel João Sá,BA,( S ),10S170400/37W553900,285 / 104.90,ZYS575
ASSOCIAÇÃO COMUNITÁRIA ROSÁRIO,RUA 08,Correntina,BA,,13S571400/46W121000,285 / 104.90,ZYS712
ASSOCIACAO DA COMUNIDADE DE SAO MANOEL-ASCOSAM,RUA RUI BARBOSA,Correntina,BA,,13S272400/44W303000,285 / 104.90,ZYS560
ASSOCIAÇÃO EDUCATIVA E CULTURAL DE CORRENTINA,RUA RAFAEL MARTUNS;,Correntina,BA,,13S204600/44W375000,285 / 104.90,ZYS703
ASSOCIAÇÃO CULTURAL COMUNITÁRIA JORGE AMADO,RUA 03,Cotegipe,BA,( S ),12S015000/44W154100,285 / 104.90,ZYS716
ASSOCIAÇÃO BENEFICENTE E COMUNITÁRIA O BOM SAMARITANO,AVENIDA SENHOR DO BONFIM,Crisópolis,BA,( S ),11S303400/38W084800,285 / 104.90,ZYS708
ASSOCIACAO COMUNITARIA SAO FRANCISCO,PRACA DA MATRIZ,Cristópolis,BA,( S ),12S135800/44W250000,200 / 87.90,ZYS535
"ASSOCIAÇÃO PARA O DESENV. COM. DE RAD. BAIRRO DA ASSEMBLÉIA DE INCENTIVO A CULTURA, ARTE, ESPORTE E LAZER-ASDERBAICA",RUA CRISTOVAM ALEXANDRE,Cruz das Almas,BA,( S ),12S400000/39W065000,200 / 87.90,ZYC394
ASSOCIAÇÃO CURAÇAENSE DE RÁDIO E DIFUSÃO,AVENIDA DR. PDRO DOS SANTOS TORRES,Curaçá,BA,( S ),08S593900/39W542900,200 / 87.90,ZYS621
ASSOCIAÇÃO DOS MORADORES DE DÁRIO MEIRA,RUA SAMUEL PHILADELPHO,Dário Meira,BA,,14S260600/39W541800,200 / 87.90,ZYS697
ASSOCIAÇÃO BENEFICENTE AQUIMINO MACHADO,AVENIDA RODRIGO ALVES,Dom Basílio,BA,( S ),13S452200/41W460900,285 / 104.90,ZYS636
"ASSOCIAÇÃO BENEFICENTE, EDUCACIONAL, CULTURAL RECREATIVA E DE RADIODIFUSÃO JJIRÉ - AJJÉ",TRAVESSA GENÉSIO BRAGA,Elísio Medrado,BA,( S ),12S565300/39W312100,200 / 87.90,ZYS743
ASSOCIACAO CULTURAL E COMUNITARIA DE ENCRUZILHADA - BAHIA,"RUA CLEMENTE SOARES, S/N",Encruzilhada,BA,( S ),15S280800/40W545500,200 / 87.90,ZYS532
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA ENTRE RIOS FM,RUA TERTULIANO DE ALMEIDA,Entre Rios,BA,( S ),11S560600/38W042400,285 / 104.90,ZYC390
ASOCIAÇÃO CULTURAL COMUNITÁRIA DE ÁGUA QUENTE,"TRAVESSA DA MATERNIDADE, S/N",Érico Cardoso,BA,( S ),13S251000/42W081900,200 / 87.90,ZYS525
ASSOCIACAO COMUNITARIA DO MUNICIPIO DE ESPLANADA,"AVENIDA SAO FRANCISCO, S/N",Esplanada,BA,,11S472500/37W570000,285 / 104.90,ZYS527
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO E CULTURA NOSSA SENHORA DA CONCEIÇÃO DE EUCLIDES DA CUNHA,"PRACA DA BANDEIRA, S/N",Euclides da Cunha,BA,,10S303100/39W005900,200 / 87.90,ZYS494
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO E CULTURA DE EUNÁPOLIS,RUA TUPINIQUINS,Eunápolis,BA,( S ),16S222100/39W340100,285 / 104.90,ZYS702
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL DA CIDADE DE FÁTIMA - BA,TRAVESSA SÃO FRANCISCO DE ASSIS,Fátima,BA,( S ),10S355600/38W123700,285 / 104.90,ZYS728
ASSOCIAÇÃO COMUNITÁRIA BETEL DE AÇÃO SOCIAL E RADIODIFUSÃO - ACBAS,RUA  BARTOLOMEU DE GUSMAO,Feira de Santana,BA,( S ),12S133700/38W582200,200 / 87.90,ZYS646
ASSOCIAÇÃO MISSÃO EVANGÉLICA EL SHADAY,AV. GETÚLIO VARGAS;,Feira de Santana,BA,( S ),12S152200/38W563800,200 / 87.90,ZYS725
ASSOCIAÇÃO DE DIFUSÃO COMUNITÁRIA VÁRZEA DO CURRAL,AVENIDA ANTÔNIO CARLOS MAGALHÃES,Filadélfia,BA,( S ),10S441900/40W075900,285 / 104.90,ZYS617
ASSOCIACAO RADIO COMUNITARIA FM CIDADE,AVENIDA GETULIO VARGAS,Formosa do Rio Preto,BA,( S ),11S025400/45W113500,200 / 87.90,ZYS490
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL DOS COMUNICADORES DE GANDU E REGIÃO,LOTEAMENTO FRANCISCO THEOTÔNIA CALHEIRA,Gandu,BA,( S ),13S450500/39W283000,200 / 87.90,ZYS596
ASSOCIAÇÃO CULTURAL COMUNITÁRIA E EDUCATIVA DE GAVIÃO,,Gavião,BA,( N ),,285 / 104.90,
ASSOCIAÇÃO DE PROTEÇÃO À MATERNIDADE E INFÂNCIA DE GOVERNADOR MANGABEIRA,RUA JOSÉ MARTINS,Governador Mangabeira,BA,( S ),12S360200/39W023900,200 / 87.90,ZYS749
ASSOCIAÇÃO COMUNITÁRIA FM GUAJERU - BA,RUA NOVA,Guajeru,BA,,14S323400/41W561300,200 / 87.90,ZYS736
ASSOCIAÇÃO FAMÍLIA FONTE DE VIDA,RUA SANTA CATARINA,Guanambi,BA,( S ),14S132700/42W462900,285 / 104.90,ZYS521
ASSOCIAÇÃO COMUNITÁRIA NOSSA SENHORA DA CONCEIÇÃO,PRAÇA DA MATRIZ,Guaratinga,BA,( S ),16S351000/39W465500,200 / 87.90,ZYS641
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL DE HELIÓPOLIS,RUA BALBINO TORRES,Heliópolis,BA,( S ),10S405900/38W172000,285 / 104.90,ZYS701
"ASSOCIAÇÃO COMUNITÁRIA AÇÃO E CIDADANIA PARA O DESENVOLVIMENTO SOCIAL, CULTURAL E ARTÍSTICO",PRACA XV DE NOVEMBRO,Iaçu,BA,( S ),12S460200/40W124200,285 / 104.90,ZYC379
ASSOCIAÇÃO COMUNITÁRIA SÃO JUDAS TADEU,RUA TIRADENTES,Ibiassucê,BA,,14S160800/42W150900,285 / 104.90,ZYS746
ASSOCIAÇÃO BENEFICENTE DA COMUNIDADE CARENTE DE IBICARAI,,Ibicaraí,BA,( N ),,285 / 104.90,
ASSOCIAÇÃO COMUNITÁRIA E ASSISTENCIAL DE IBICOARA-BA,RUA FERNANDO NETO,Ibicoara,BA,( S ),13S250100/41W170200,285 / 104.90,ZYS576
ACIEC-ASSOCIAÇÃO COMUNITÁRIA IBICUIENSE PE. EUGÊNIO CIZMÁSIA,"RUA ARTUR PIRES, 60",Ibicuí,BA,( S ),14S502700/39W571400,285 / 104.90,ZYC381
ASSOCIACAO COMUNITARIA DE IBIPEBA,"RUA JOSUE ALVES BARRETO, 433",Ibipeba,BA,,11S382700/42W003900,285 / 104.90,ZYS537
ASSOCIAÇÃO COMUNITÁRIA DE RADIODIFUSÃO DE IBIRAPUÃ,TRAVESSA LOMANTO JÚNIOR,Ibirapuã,BA,( S ),17S411900/40W065100,285 / 104.90,ZYS618
ASSOCIAÇÃO COMUNITÁRIA RÁDIO LIVRE IBIRATAIA,RUA SALGADO FILHO,Ibirataia,BA,,14S040300/39W381700,285 / 104.90,
ACCI - ASSOCIAÇÃO COMUNITÁRIA E CULTURAL IBITITAENSE,RUA ALTO DA ESTRELA,Ibititá,BA,,11S330000/41W580000,285 / 104.90,ZYS600
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA DE ICHU,AVENIDA JOAQUIM LÁZARO CARNEIRO,Ichu,BA,( S ),11S450000/39W120000,285 / 104.90,ZYS640
ASSOCIACAO COMUNITARIA DO DESENVOLVIMENTO SOCIAL DE IGAPORA,"RUA PROFESSOR VALDIR CARDOSO, S/N",Igaporã,BA,,13S450000/42W423300,285 / 104.90,ZYL343
ASSOCIAÇÃO COMUNITÁRIA IGUAÍENSE NOVO MILÊNIO,PRAÇA MANOEL NOVAIS,Iguaí,BA,( S ),14S440300/40W061600,285 / 104.90,ZYS577
ASSOCIACAO COMUNITARIA DE ILHEUS - BA,"AVENIDA BRASIL, 305",Ilhéus,BA,( S ),14S473700/39W023900,290 / 105.90,ZYS533
ABCI-ASSOCIACAO BENEFICENTE E  CULTURAL COMUNIT.DE INHAMBUPE,RUA PROFESSOR MESQUITA,Inhambupe,BA,( S ),11S470400/38W211100,285 / 104.90,ZYC393
ASSOCIAÇÃO CULTURAL COMUNITÁRIA RÁDIO LIVRE,SEGUNDA TRAVESSA JOAQUIM NABUCO; 88,Ipiaú,BA,( S ),14S070900/39W440900,290 / 105.90,ZYC391
ASSOC.COMUNITARIA DE RADIODIFUSAO E ACAO SOCIAL EL SHADAY.,,Ipirá,BA,( N ),,290 / 105.90,
ASSOCIACAO FORTALEZA DE SAO JOAO,,Ipupiara,BA,( N ),,285 / 104.90,
ASSOCIAÇÃO DE DESENVOLVIMENTO COMUNITÁRIO DE IRAMAIA - ADCI,RUA OTONIEL MORAES,Iramaia,BA,( S ),13S170800/40W570400,200 / 87.90,ZYS665
ASSOCIAÇÃO COMUNITÁRIA E RURAL DO CRUZEIRO DA QUEIMADA,RUA RUI BARBOSA,Irará,BA,,12S030500/38W462500,285 / 104.90,ZYS747
ASSOCIACAO COMUNITARIA NOVO MILENIO,PRAÇA GÓES CALMON,Irecê,BA,( S ),11S181300/41W512600,300 / 107.90,ZYS599
ASSOCIACAO COMUNITARIA DE COMUNICACAO DE MONTE PASCOAL,,Itabela,BA,( N ),,285 / 104.90,
ASCOBI - ASSOCIAÇÃO COMUNITÁRIA E BENEFICENTE AMIGOS DE ITABELA - BA,AVENIDA MANOEL CARNEIRO,Itabela,BA,( S ),16S342200/39W332800,285 / 104.90,ZYS632
ASSOCIAÇÃO COMUNITÁRIA ZUMBI DOS PALMARES,LADEIRA DA PRACA DO ROSARIO; NÌ 32,Itaberaba,BA,( S ),12S320200/40W152100,285 / 104.90,ZYS542
PROEVES PROMOÇÕES EM EVENTOS SOCIAIS,AVENIDA MANOEL CHAVES,Itabuna,BA,( S ),14S483000/39W163300,285 / 104.90,ZYS695
APAI-ASSOCIAÇÃO DE PROTEÇÃO AO ADOLESCENTE DE ITACARÉ,RUA JOAO DE SOUZA,Itacaré,BA,( S ),14S165000/38W594200,285 / 104.90,ZYS583
ASSOCIAÇÃO COMUNITÁRIA CULTURAL DE ITAGI,PRAÇA SÃO JOSÉ,Itagi,BA,( S ),14S094200/40W002000,285 / 104.90,ZYS620
ASSOCIAÇÃO COMUNITÁRIA DE ITAGIBÁ,RUA DÁRIO MEIRA,Itagibá,BA,( S ),14S165700/39W503700,285 / 104.90,ZYS492
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO E CULTURA AMAR E SERVIR,RUA FREI BENTO DE SOUZA;,Itajuípe,BA,,14S405400/39W221400,285 / 104.90,ZYS704
ASSOCIACAO COMUNITARIA ALTERNATIVA,"RUA JOSE DE ANCHIETA, 88 - SEGUNDO ANDAR - SALA 20",Itamaraju,BA,( S ),17S015600/39W315300,200 / 87.90,ZYS509
ASSOCIAÇÃO IDEALISTA DE ITAMARI,SÍTIO BOA VISTA - RODOVIA 549 - KM 01,Itamari,BA,( S ),13S465200/39W411900,285 / 104.90,ZYS707
FUNDACAO JURACY MARDEN,"RUA HILDA MENDES PIRES, 165",Itambé,BA,( S ),15S143900/40W372300,285 / 104.90,ZYS480
"ASSOCIAÇÃO BENEFICENTE, CULTURAL E COMUNITÁRIA TUPINAMBÁ","RUA LEOVIRGILIO MONTEIRO, 19",Itaparica,BA,( S ),12S524600/38W410900,200 / 87.90,ZYS538
ASSOCIAÇÃO E MOVIMENTO COMUNITÁRIO BENEFICENTE CULTURAL RÁDIO ITAPEBI FM,PRAÇA DA MATRIZ,Itapebi,BA,( S ),15S565700/39W313100,200 / 87.90,ZYS742
ASSOCIAÇÃO COMUNITÁRIA ITAPETINGUENSE JOÃO FÉLIX NETO,AVENIDA PEDRO LIMA,Itapetinga,BA,( S ),15S151600/40W143500,285 / 104.90,ZYS653
ASSOCIAÇÃO COMUNITÁRIA PONTAL DO SUL E NORTE DE ITAPITANGA - ASCOMP,RUA EDUARDO QUINTO,Itapitanga,BA,( S ),14S252200/39W345400,285 / 104.90,ZYS718
ASSOCIACAO COMUNITARIA ITARANTINENSE NOVA ESPERANCA,"RUA DUQUE DE CAXIAS, 100",Itarantim,BA,( S ),15S393500/40W035600,285 / 104.90,ZYS519
ASSOCIAÇÃO BENEFICENTE E COMUNITÁRIA DO MOVIMENTO SÓCIO-CULTURAL E EDUCATIVO DE ITATIM - ABCCI,RUA DA ESTAÇÃO,Itatim,BA,( S ),12S425300/39W413700,200 / 87.90,ZYS584
ASSOCIAÇÃO BENEFICENTE DE ITIRUÇU,RUA JUSCELINO KUBITSCHEK,Itiruçu,BA,( S ),13S315400/40W090700,285 / 104.90,ZYS657
