Razão Social,Endereço,Município,UF,Licenciada (sim ou não),Latitude/Longitude,Canal/Frequência,Indicador
ASSOCIAÇÃO COMUNITÁRIA DE RÁDIO COMUNICAÇÕES VALE DO RIO JARI (RÁDIO COMUNITÁRIA VALE DO JARI FM),AVENIDA TANCREDO NEVES - QUADRA 05 - LOTE 23,Laranjal do Jari,AP,( S ),00S495900/52W304200,200 / 87.90,ZYC293
ASSOCIAÇÃO DA RÁDIO COMUNITÁRIA LIBERTA BAILIQUE FM,PASSARELA NOÊMIA AMANAJÁS,Macapá,AP,,00N523600/50W025700,290 / 105.90,ZYS446
ASSOCIAÇÃO DE COMUNICAÇÃO ALTERNATIVA DO NOVO HORIZONTE,RUA MARIA DA CONCEIÇÃO DOS SANTOS,Macapá,AP,( S ),00S060500/51W024200,290 / 105.90,ZYS444
ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO ARTÍSTICO E CULTURAL DO OIAPOQUE - ASCOQUE,RUA DOS GALIBIS,Oiapoque,AP,( S ),03N503800/51W494600,285 / 104.90,ZYS451
ASSOCIAÇÃO COMUNITÁRIA DOS MORADORES E AMIGOS DO OIAPOQUE,RUA RIO BRANCO,Oiapoque,AP,( S ),03N490500/51W514500,285 / 104.90,ZYS452
ASSOCIACAO DA RADIO COMUNITARIA DE PEDRA BRANCA DO AMAPARI - AP,LINHA A,Pedra Branca do Amapari,AP,( S ),00N464200/51W563600,200 / 87.90,ZYS447
ASSOC. COMUNIT. DE DESENV. ARTISTICO E CULTURAL DE PRACUUBA,,Pracuúba,AP,( N ),01N434900/50W470900,200 / 87.90,ZYS443
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO ONDA LIVRE,TRAVESSA OSCAR SANTOS,Santana,AP,( S ),00S022700/51W104800,290 / 105.90,ZYS448
ASSOCIAÇÃO DA RÁDIO COMUNITÁRIA SERRANA MANGANÊS,TRAVESSA A 3; Nº 466 O,Serra do Navio,AP,( S ),00N534800/52W000900,198 / 87.50,ZYS449
ASSOCIACAO RURAL DA RADIO COMUNITARIA DO ASSENTAMENTO DO BOM JESUS,,Tartarugalzinho,AP,( N ),,200 / 87.90,
